UserName,Handle,Timestamp,Comments,Likes,Retweets,Text
The Washington Post,@washingtonpost,2022-07-30T15:50:35.000Z,"During his six days in Canada, Pope Francis had moments both of sturdiness and frailty. 

So, on the return flight to Rome, Francis said he has concluded that he needs to slow down.
washingtonpost.com
Pope Francis says ‘door is open’ to eventual retirement as he slows pace
Pope Francis, on his return flight to Rome from Canada, said it was a “normal option” to think about retirement, although he hadn't reached that point yet.
21
25
124The Washington Post
@washingtonpost
·
Jul 30
During his six days in Canada, Pope Francis had moments both of sturdiness and frailty. 

So, on the return flight to Rome, Francis said he has concluded that he needs to slow down.
washingtonpost.com
Pope Francis says ‘door is open’ to eventual retirement as he slows pace
Pope Francis, on his return flight to Rome from Canada, said it was a “normal option” to think about retirement, although he hadn't reached that point yet.
21
25
124",21,25,124
The Washington Post,@washingtonpost,2022-07-30T15:45:20.000Z,"At least 25 have died in Kentucky flooding, including children, and death toll is likely to rise, governor says
washingtonpost.com
At least 25 dead in Kentucky in devastating flood, governor says
Search-and-rescue teams continued scouring communities in the Appalachian foothills for survivors and the final death toll is expected to increase.
29
109
216The Washington Post
@washingtonpost
·
Jul 30
At least 25 have died in Kentucky flooding, including children, and death toll is likely to rise, governor says
washingtonpost.com
At least 25 dead in Kentucky in devastating flood, governor says
Search-and-rescue teams continued scouring communities in the Appalachian foothills for survivors and the final death toll is expected to increase.
29
109
216",29,109,216
The Washington Post,@washingtonpost,2022-07-30T15:19:02.000Z,"Spanish prosecutors have called for more than eight years in prison and a fine of about $24 million for Shakira over alleged tax fraud, as the authorities push ahead with their years-long case against the Colombian pop star.
washingtonpost.com
Shakira faces over 8 years in prison if convicted of tax fraud in Spain
Shakira could also be hit with around $24 million in fines as prosecutors in Spain push ahead with their tax fraud case against the Colombian pop star.
64
100
213The Washington Post
@washingtonpost
·
Jul 30
Spanish prosecutors have called for more than eight years in prison and a fine of about $24 million for Shakira over alleged tax fraud, as the authorities push ahead with their years-long case against the Colombian pop star.
washingtonpost.com
Shakira faces over 8 years in prison if convicted of tax fraud in Spain
Shakira could also be hit with around $24 million in fines as prosecutors in Spain push ahead with their tax fraud case against the Colombian pop star.
64
100
213",64,100,213
The Washington Post,@washingtonpost,2022-07-30T15:02:29.000Z,"West Virginia legislature inches closer to near-total abortion ban with narrow exceptions
washingtonpost.com
West Virginia legislature inches closer to near-total abortion ban with narrow exceptions
65
44
73The Washington Post
@washingtonpost
·
Jul 30
West Virginia legislature inches closer to near-total abortion ban with narrow exceptions
washingtonpost.com
West Virginia legislature inches closer to near-total abortion ban with narrow exceptions
65
44
73",65,44,73
The Washington Post,@washingtonpost,2022-07-30T02:08:23.000Z,"Breaking news: The DHS’s chief watchdog came up with a plan to recover missing text messages that the Secret Service and other agencies exchanged around the time of the Jan. 6 siege on the Capitol, and then abruptly abandoned the effort, records show. https://wapo.st/3JgUape
295
2,843
4,609The Washington Post
@washingtonpost
·
Jul 30
Breaking news: The DHS’s chief watchdog came up with a plan to recover missing text messages that the Secret Service and other agencies exchanged around the time of the Jan. 6 siege on the Capitol, and then abruptly abandoned the effort, records show. https://wapo.st/3JgUape
295
2,843
4,609",295,"2,843","4,609"
The Washington Post,@washingtonpost,2022-07-30T02:05:08.000Z,"Mohammed Khalifa, 39, admitted to executing two Syrian soldiers on videos.
washingtonpost.com
Life sentence for Canadian man who joined ISIS, narrated propaganda videos
Mohammed Khalifa, 39, admitted to executing two Syrian soldiers on videos.
10
24
78The Washington Post
@washingtonpost
·
Jul 30
Mohammed Khalifa, 39, admitted to executing two Syrian soldiers on videos.
washingtonpost.com
Life sentence for Canadian man who joined ISIS, narrated propaganda videos
Mohammed Khalifa, 39, admitted to executing two Syrian soldiers on videos.
10
24
78",10,24,78
The Washington Post,@washingtonpost,2022-07-30T01:44:03.000Z,"There have been few indications of how a potential legal drama involving the Department of Justice, the LIV Golf series and the PGA Tour could play out.
washingtonpost.com
Could the DOJ sway the PGA Tour-LIV Golf fight? It’s complicated.
There have been few indications of how a potential legal drama involving the Department of Justice, the LIV Golf series and the PGA Tour could play out.
9
20
59The Washington Post
@washingtonpost
·
Jul 30
There have been few indications of how a potential legal drama involving the Department of Justice, the LIV Golf series and the PGA Tour could play out.
washingtonpost.com
Could the DOJ sway the PGA Tour-LIV Golf fight? It’s complicated.
There have been few indications of how a potential legal drama involving the Department of Justice, the LIV Golf series and the PGA Tour could play out.
9
20
59",9,20,59
The Washington Post,@washingtonpost,2022-07-30T01:30:59.000Z,"Democrats' first ad on abortion in a Virginia competitive district targets Rep. Jennifer Wexton's opponent, Hung Cao.
washingtonpost.com
On abortion, Dems begin offensive in Va. as GOP renews old attacks
Democrats' first ad on abortion in a Virginia competitive district targets Rep. Jennifer Wexton's opponent, Hung Cao.
15
45
117The Washington Post
@washingtonpost
·
Jul 30
Democrats' first ad on abortion in a Virginia competitive district targets Rep. Jennifer Wexton's opponent, Hung Cao.
washingtonpost.com
On abortion, Dems begin offensive in Va. as GOP renews old attacks
Democrats' first ad on abortion in a Virginia competitive district targets Rep. Jennifer Wexton's opponent, Hung Cao.
15
45
117",15,45,117
The Washington Post,@washingtonpost,2022-07-30T00:50:07.000Z,"Paul Pringle’s book, “Bad City: Peril and Power in the City of Angels,” claims that top editors at the Los Angeles Times tried to protect the University of Southern California from his reporting.
washingtonpost.com
A reporter accused his bosses of burying a scandal. They say he’s lying.
Paul Pringle’s book, “Bad City: Peril and Power in the City of Angels,” claims that top editors at the Los Angeles Times tried to protect the University of Southern California from his reporting.
12
20
54The Washington Post
@washingtonpost
·
Jul 30
Paul Pringle’s book, “Bad City: Peril and Power in the City of Angels,” claims that top editors at the Los Angeles Times tried to protect the University of Southern California from his reporting.
washingtonpost.com
A reporter accused his bosses of burying a scandal. They say he’s lying.
Paul Pringle’s book, “Bad City: Peril and Power in the City of Angels,” claims that top editors at the Los Angeles Times tried to protect the University of Southern California from his reporting.
12
20
54",12,20,54
The Washington Post,@washingtonpost,2022-07-29T18:13:24.000Z,"The Mystics start a pivotal stretch of the WNBA regular season with a road win that came without Elena Delle Donne.
washingtonpost.com
Well-rested Mystics open a crucial stretch with a win at Dallas
The Mystics start a pivotal stretch of the WNBA regular season with a road win that came without Elena Delle Donne.
10
7
19The Washington Post
@washingtonpost
·
Jul 29
The Mystics start a pivotal stretch of the WNBA regular season with a road win that came without Elena Delle Donne.
washingtonpost.com
Well-rested Mystics open a crucial stretch with a win at Dallas
The Mystics start a pivotal stretch of the WNBA regular season with a road win that came without Elena Delle Donne.
10
7
19",10,7,19
