,username,handle,postdate,text,reply_cnt,retweet_cnt,Cleaned_sentences,pos_tags,senti_score,Overall Sentiment,ClusterName
216,The New York Times,@nytimes,2021-12-01T13:20:06.000Z,3 Students Are Killed in Michigan School Shooting A 15-year-old sophomore was taken into custody with a semiautomatic handgun that was bought by his father four days before the fatal shooting.,44,78,students killed michigan school shooting year old sophomore taken custody semiautomatic handgun bought father four days fatal shooting,"[('students', 'NNS'), ('killed', 'VBD'), ('michigan', 'JJ'), ('school', 'NN'), ('shooting', 'VBG'), ('year', 'NN'), ('old', 'JJ'), ('sophomore', 'NN'), ('taken', 'VBN'), ('custody', 'NN'), ('semiautomatic', 'JJ'), ('handgun', 'NN'), ('bought', 'VBD'), ('father', 'RB'), ('four', 'CD'), ('days', 'NNS'), ('fatal', 'JJ'), ('shooting', 'NN')]",0.0,Positive,2
217,The New York Times,@nytimes,2021-12-01T13:10:03.000Z,Amazon and the Labor Shortage What this economic moment means for the company and the people who work there.,24,40,amazon labor shortage economic moment means company people work,"[('amazon', 'JJ'), ('labor', 'NN'), ('shortage', 'NN'), ('economic', 'JJ'), ('moment', 'NN'), ('means', 'VBZ'), ('company', 'NN'), ('people', 'NNS'), ('work', 'VBP')]",0.0,Positive,0
218,The New York Times,@nytimes,2021-12-01T11:20:07.000Z,"The Next Challenge to Vaccinating Africa: Overcoming Skepticism Vaccines are finally available in many African countries, but some people there, as well as in South Asia, are wary of taking them.",48,78,next challenge vaccinating africa overcoming skepticism vaccines finally available many african countries people well south asia wary taking,"[('next', 'JJ'), ('challenge', 'NN'), ('vaccinating', 'VBG'), ('africa', 'RP'), ('overcoming', 'VBG'), ('skepticism', 'NN'), ('vaccines', 'NNS'), ('finally', 'RB'), ('available', 'JJ'), ('many', 'JJ'), ('african', 'JJ'), ('countries', 'NNS'), ('people', 'NNS'), ('well', 'RB'), ('south', 'RB'), ('asia', 'JJ'), ('wary', 'JJ'), ('taking', 'VBG')]",1.875,Positive,1
219,The New York Times,@nytimes,2021-12-01T11:10:07.000Z,"In China, Buying That Toy Gun Could Get You Arrested San Cheng bought toy guns online as props for video game design. Then the police arrived, and he was jailed under China’s strict but messy gun laws.",34,55,china buying toy gun could get arrested san cheng bought toy guns online props video game design police arrived jailed china strict messy gun laws,"[('china', 'NN'), ('buying', 'VBG'), ('toy', 'NN'), ('gun', 'NN'), ('could', 'MD'), ('get', 'VB'), ('arrested', 'VBN'), ('san', 'JJ'), ('cheng', 'NN'), ('bought', 'VBD'), ('toy', 'NN'), ('guns', 'NNS'), ('online', 'VBP'), ('props', 'NNS'), ('video', 'JJ'), ('game', 'NN'), ('design', 'NN'), ('police', 'NN'), ('arrived', 'VBD'), ('jailed', 'JJ'), ('china', 'NN'), ('strict', 'JJ'), ('messy', 'NN'), ('gun', 'NN'), ('laws', 'NNS')]",1.0,Positive,0
220,The New York Times,@nytimes,2021-12-01T11:00:17.000Z,"Police Officer and 2 Women Are Killed in Atlanta Area A suspect was shot and killed during an “exchange of gunfire” with officers responding to a domestic violence call, the police said. A 12-year-old boy and an officer were also injured.",16,29,police officer women killed atlanta area suspect shot killed exchange gunfire officers responding domestic violence call police said year old boy officer also injured,"[('police', 'NNS'), ('officer', 'NN'), ('women', 'NNS'), ('killed', 'VBD'), ('atlanta', 'JJ'), ('area', 'NN'), ('suspect', 'NN'), ('shot', 'NN'), ('killed', 'VBD'), ('exchange', 'NN'), ('gunfire', 'NN'), ('officers', 'NNS'), ('responding', 'VBG'), ('domestic', 'JJ'), ('violence', 'NN'), ('call', 'NN'), ('police', 'NN'), ('said', 'VBD'), ('year', 'NN'), ('old', 'JJ'), ('boy', 'NN'), ('officer', 'NN'), ('also', 'RB'), ('injured', 'VBD')]",0.875,Positive,2
221,The New York Times Retweeted,@BenWeiserNYT,2021-12-01T01:21:29.000Z,"Accuser Describes Maxwell and Epstein Ensnaring and Abusing Her at 14 During the second day of Ghislaine Maxwell’s trial, a woman accused Ms. Maxwell of befriending her when she was a girl, only to join in the sexual abuse that followed.",3,25,accuser describes maxwell epstein ensnaring abusing second day ghislaine maxwell trial woman accused ms maxwell befriending girl join sexual abuse followed,"[('accuser', 'NN'), ('describes', 'NNS'), ('maxwell', 'VBP'), ('epstein', 'RB'), ('ensnaring', 'VBG'), ('abusing', 'VBG'), ('second', 'JJ'), ('day', 'NN'), ('ghislaine', 'NN'), ('maxwell', 'VBP'), ('trial', 'NN'), ('woman', 'NN'), ('accused', 'VBD'), ('ms', 'NN'), ('maxwell', 'NN'), ('befriending', 'VBG'), ('girl', 'JJ'), ('join', 'NN'), ('sexual', 'JJ'), ('abuse', 'NN'), ('followed', 'VBD')]",-0.5,Negative,0
222,The New York Times,@nytimes,2021-12-01T10:29:05.000Z,E.U. Interpreter Says Greece Expelled Him to Turkey in Migrant Roundup The man’s story echoes complaints from human-rights groups that Greek authorities often expel asylum seekers indiscriminately and violently.,13,54,e u interpreter says greece expelled turkey migrant roundup man story echoes complaints human rights groups greek authorities often expel asylum seekers indiscriminately violently,"[('e', 'NN'), ('u', 'JJ'), ('interpreter', 'NN'), ('says', 'VBZ'), ('greece', 'NN'), ('expelled', 'VBD'), ('turkey', 'NN'), ('migrant', 'NN'), ('roundup', 'NN'), ('man', 'NN'), ('story', 'NN'), ('echoes', 'VBZ'), ('complaints', 'NNS'), ('human', 'JJ'), ('rights', 'NNS'), ('groups', 'NNS'), ('greek', 'JJ'), ('authorities', 'NNS'), ('often', 'RB'), ('expel', 'VBP'), ('asylum', 'JJ'), ('seekers', 'NNS'), ('indiscriminately', 'RB'), ('violently', 'RB')]",0.625,Positive,2
223,The New York Times Retweeted,@JeffCMays,2021-12-01T00:50:11.000Z,"Nation’s First Supervised Drug-Injection Sites Open in New York During the first official day in operation at the two Manhattan facilities, trained staff reversed two overdoses, officials said.",23,106,nation first supervised drug injection sites open new york first official day operation two manhattan facilities trained staff reversed two overdoses officials said,"[('nation', 'NN'), ('first', 'RB'), ('supervised', 'VBN'), ('drug', 'NN'), ('injection', 'NN'), ('sites', 'VBZ'), ('open', 'JJ'), ('new', 'JJ'), ('york', 'NN'), ('first', 'JJ'), ('official', 'JJ'), ('day', 'NN'), ('operation', 'NN'), ('two', 'CD'), ('manhattan', 'NN'), ('facilities', 'NNS'), ('trained', 'VBD'), ('staff', 'NN'), ('reversed', 'VBN'), ('two', 'CD'), ('overdoses', 'NNS'), ('officials', 'NNS'), ('said', 'VBD')]",0.0,Positive,1
224,The New York Times,@nytimes,2021-12-01T10:00:09.000Z,"How to Watch the Christmas Tree Lighting at Rockefeller Center The Christmas tree will be lit on Wednesday in a star-studded ceremony, which will be open to the public for the first time since 2019.",13,36,watch christmas tree lighting rockefeller center christmas tree lit wednesday star studded ceremony open public first time since,"[('watch', 'NN'), ('christmas', 'NN'), ('tree', 'NN'), ('lighting', 'VBG'), ('rockefeller', 'NN'), ('center', 'NN'), ('christmas', 'NN'), ('tree', 'NN'), ('lit', 'NN'), ('wednesday', 'NN'), ('star', 'NN'), ('studded', 'VBD'), ('ceremony', 'NN'), ('open', 'JJ'), ('public', 'JJ'), ('first', 'JJ'), ('time', 'NN'), ('since', 'IN')]",-0.5,Negative,0
225,The New York Times,@nytimes,2021-12-01T03:15:06.000Z,"Prosecutors Push Elizabeth Holmes of Theranos to Take Responsibility Under cross-examination, the founder of the failed blood testing start-up defended herself but admitted that she had made mistakes.",39,54,prosecutors push elizabeth holmes theranos take responsibility cross examination founder failed blood testing start defended admitted made mistakes,"[('prosecutors', 'NNS'), ('push', 'VBP'), ('elizabeth', 'RB'), ('holmes', 'JJ'), ('theranos', 'NNS'), ('take', 'VBP'), ('responsibility', 'NN'), ('cross', 'NN'), ('examination', 'NN'), ('founder', 'NN'), ('failed', 'VBD'), ('blood', 'NN'), ('testing', 'VBG'), ('start', 'NN'), ('defended', 'VBD'), ('admitted', 'VBN'), ('made', 'VBN'), ('mistakes', 'NNS')]",-0.75,Negative,0
